Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
POWELL KENDALL J,Powell Kendall J,Kendall,J,Powell,,Kendall J Powell ,GIS UN Equity,GENERAL MILLS IN,General Mills In,12/23/13,508680,0.081,-10126,48.9
NOSBUNCH KEITH D,NosbUNch Keith D,Keith,D,NosbUNch,,Keith D NosbUNch ,ROK UN Equity,ROCKWELL AUTOMAT,Rockwell Automat,12/9/13,506129,0.365,13602,115.93
GALLAGHER THOMAS C,Gallagher Thomas C,Thomas,C,Gallagher,,Thomas C Gallagher ,GPC UN Equity,GENUINE PARTS CO,Genuine Parts Co,11/22/13,504818,0.327,12789,82.63
DAVIS RICHARD K,Davis Richard K,Richard,K,Davis,,Richard K Davis ,USB UN Equity,UN BANCORP,UN Bancorp,7/19/13,501354,0.027,#N/A N/A,40.91
DOBKIN ROBERT C,Dobkin Robert C,Robert,C,Dobkin,,Robert C Dobkin ,LLTC UW Equity,LINEAR TECH CORP,Linear Tech Corp,11/29/13,501191,0.214,-50300,45.2
D'AMORE ROBERT R,D'Amore Robert R,Robert,R,D'Amore,,Robert R D'Amore ,PBCT UW Equity,PEOPLE'S UNITED,People'S United,3/1/13,499570,0.157,-3329,15.24
LEONARD J WAYNE,Leonard J Wayne,J,Wayne,Leonard,,J Wayne Leonard ,ETR UN Equity,ENTERGY CORP,Entergy Corp,1/29/13,498239,0.279,#N/A N/A,60.79
CAFARO DEBRA A,Cafaro Debra A,Debra,A,Cafaro,,Debra A Cafaro ,VTR UN Equity,VENTAS INC,Ventas Inc,3/27/13,497934,0.169,-65900,58.32
HUMANN L PHILLIP,Humann L Phillip,L,Phillip,Humann,,L Phillip Humann ,STI UN Equity,SUNTRUNT BANKS,SuntrUNt Banks,4/29/08,496877,0.093,29649,36.98
LAUREN RALPH,Lauren Ralph,Ralph,,Lauren,,Ralph  Lauren ,RL UN Equity,RALPH LAUREN COR,Ralph Lauren Cor,11/12/13,495988,0.82,-155794,175.2
BIDZOS D JAMES,Bidzos D James,D,James,Bidzos,,D James Bidzos ,VRSN UW Equity,VERISIGN INC,Verisign Inc,2/28/13,494900,0.361,#N/A N/A,60.81
PARKINSON JR ROBERT L,Parkinson Jr Robert L,Robert,L,Parkinson,Jr,Robert L Parkinson Jr,BAX UN Equity,BAXTER INTL INC,Baxter Intl Inc,8/5/13,490485,0.09,25000,69.63
STANLEY CHARLES B,Stanley Charles B,Charles,B,Stanley,,Charles B Stanley ,QEP UN Equity,QEP RESOURCES IN,Qep Resources In,12/6/13,488544,0.273,#N/A N/A,29.72
WEISSMAN ROBERT E,Weissman Robert E,Robert,E,Weissman,,Robert E Weissman ,CTSH UW Equity,COGNIZANT TECH-A,Cognizant Tech-A,11/20/13,486888,0.161,-11000,99.25
JUNG ANDREA,Jung Andrea,Andrea,,Jung,,Andrea  Jung ,AVP UN Equity,AVON PRODUCTS,Avon Products,3/4/13,480421,0.111,#N/A N/A,17
SHATTUCK III MAYO A,Shattuck Iii Mayo A,Mayo,A,Shattuck,,Mayo A Shattuck ,EXC UN Equity,EXELON CORP,Exelon Corp,12/31/13,480357,0.056,20,26.84
ANDREOTTI LAMBERTO,Andreotti Lamberto,Lamberto,,Andreotti,,Lamberto  Andreotti ,BMY UN Equity,BRISTOL-MYER SQB,Bristol-Myer Sqb,6/4/13,478562,0.029,-100000,53
MILLER JR MERRILL A,Miller Jr Merrill A,Merrill,A,Miller,Jr,Merrill A Miller Jr,NOV UN Equity,NATL OILWELL VAR,Natl Oilwell Var,12/2/13,477904,0.112,-2000,78.04
CONNOR CHRISTOPHER M,Connor Christopher M,Christopher,M,Connor,,Christopher M Connor ,SHW UN Equity,SHERWIN-WILLIAMS,Sherwin-Williams,2/15/13,471405,0.465,-24196,188.94
CHENEVERT LOUIS R,Chenevert Louis R,Louis,R,Chenevert,,Louis R Chenevert ,UTX UN Equity,UNITED TECH CORP,United Tech Corp,1/2/14,463518,0.051,#N/A N/A,112.91
LORBERBAUM JEFFREY SCOTT,Lorberbaum Jeffrey Scott,Jeffrey,Scott,Lorberbaum,,Jeffrey Scott Lorberbaum ,MHK UN Equity,MOHAWK INDS,Mohawk Inds,11/4/13,462096,0.636,3028,146.8
CONSIDINE TERRY,Considine Terry,Terry,,Considine,,Terry  Considine ,AIV UN Equity,APARTMENT INVEST,Apartment Invest,12/30/13,454052,0.311,#N/A N/A,25.59
IZZO RALPH,Izzo Ralph,Ralph,,Izzo,,Ralph  Izzo ,PEG UN Equity,PUB SERV ENTERP,Pub Serv Enterp,1/2/14,446951,0.088,-38847,31.44
GLUNKI WEIL ANDRES RICARDO,GlUNki Weil Andres Ricardo,Weil,Andres Ricardo,GlUNki,,Weil Andres Ricardo GlUNki ,AES UN Equity,AES CORP,Aes Corp,12/31/13,445611,0.062,-16880,14.39
ECKERT ROBERT A,Eckert Robert A,Robert,A,Eckert,,Robert A Eckert ,MAT UW Equity,MATTEL INC,Mattel Inc,12/31/12,442895,0.131,3603,45.71
FARRIS G STEVEN,Farris G Steven,G,Steven,Farris,,G Steven Farris ,APA UN Equity,APACHE CORP,Apache Corp,12/10/13,436238,0.109,-6042,87.13
CASPER MARC N,Casper Marc N,Marc,N,Casper,,Marc N Casper ,TMO UN Equity,THERMO FISHER,Thermo Fisher,8/26/13,433743,0.12,-3569,113.63
FINNEGAN JOHN D,Finnegan John D,John,D,Finnegan,,John D Finnegan ,CB UN Equity,CHUBB CORP,Chubb Corp,3/7/13,429083,0.17,-70000,92.39
WEEDEN JEFFREY B,Weeden Jeffrey B,Jeffrey,B,Weeden,,Jeffrey B Weeden ,KEY UN Equity,KEYCORP,Keycorp,5/13/13,427064,0.048,74001,13.53
SMITH RICHARD F,Smith Richard F,Richard,F,Smith,,Richard F Smith ,EFX UN Equity,EQUIFAX INC,Equifax Inc,5/3/13,426037,0.35,-41640,68.25
GLASS DENNIS R,Glass Dennis R,Dennis,R,Glass,,Dennis R Glass ,LNC UN Equity,LINCOLN NATL CRP,Lincoln Natl Crp,11/22/13,422207,0.161,#N/A N/A,51.91
CRACCHIOLO JAMES M,Cracchiolo James M,James,M,Cracchiolo,,James M Cracchiolo ,AMP UN Equity,AMERIPRISE FINAN,Ameriprise Finan,11/13/13,414679,0.213,19122,115.53
JAMES DONALD A,James Donald A,Donald,A,James,,Donald A James ,HOG UN Equity,HARLEY-DAVIDSON,Harley-Davidson,4/29/13,412040,0.186,#N/A N/A,69.27
KULLMAN ELLEN J,Kullman Ellen J,Ellen,J,Kullman,,Ellen J Kullman ,DD UN Equity,DU PONT (EI),Du Pont (Ei),12/26/13,408325,0.044,#N/A N/A,62.82
BUNH WESLEY G,BUNh Wesley G,Wesley,G,BUNh,,Wesley G BUNh ,NOC UN Equity,NORTHROP GRUMMAN,Northrop Grumman,11/12/13,403976,0.182,#N/A N/A,114.84
MCCLAIN GRETCHEN W,Mcclain Gretchen W,Gretchen,W,Mcclain,,Gretchen W Mcclain ,XYL UN Equity,XYLEM INC,Xylem Inc,3/5/13,401946,0.218,-4941,34.49
SULLIVAN WILLIAM P,Sullivan William P,William,P,Sullivan,,William P Sullivan ,A UN Equity,AGILENT TECH INC,Agilent Tech Inc,12/19/13,401296,0.121,-940,58.28
BISARO PAUL M,Bisaro Paul M,Paul,M,Bisaro,,Paul M Bisaro ,ACT UN Equity,ACTAVIS PLC,Actavis Plc,11/11/13,399995,0.23,-40921,177.03
PYOTT DAVID E I,Pyott David E I,David,E I,Pyott,,David E I Pyott ,AGN UN Equity,ALLERGAN INC,Allergan Inc,10/5/12,399152,0.134,#N/A N/A,115.55
KESSLER MURRAY S,Kessler Murray S,Murray,S,Kessler,,Murray S Kessler ,LO UN Equity,LORILLARD INC,Lorillard Inc,9/16/13,399037,0.108,-37818,49.88
DOW STEPHEN M,Dow Stephen M,Stephen,M,Dow,,Stephen M Dow ,CTXS UW Equity,CITRIX SYSTEMS,Citrix Systems,6/3/13,398518,0.214,#N/A N/A,60.98
MUNSALLEM MICHAEL A,MUNsallem Michael A,Michael,A,MUNsallem,,Michael A MUNsallem ,EW UN Equity,EDWARDS LIFE,Edwards Life,12/4/13,396098,0.362,#N/A N/A,67.09
BUTTS JAMES E,Butts James E,James,E,Butts,,James E Butts ,CHRW UW Equity,CH ROBINSON,Ch Robinson,11/28/12,395857,0.261,-11500,56.45
DREILING RICHARD W,Dreiling Richard W,Richard,W,Dreiling,,Richard W Dreiling ,DG UN Equity,DOLLAR GENERAL C,Dollar General C,4/3/13,394742,0.123,-242877,59.38
POLLOCK ROBERT B,Pollock Robert B,Robert,B,Pollock,,Robert B Pollock ,AIZ UN Equity,ASSURANT INC,Assurant Inc,12/4/13,394439,0.542,-7940,67.18
SURMA JR JOHN P,Surma Jr John P,John,P,Surma,Jr,John P Surma Jr,X UN Equity,UN STEEL CORP,UN Steel Corp,11/26/13,393158,0.272,-1978,29.63
CHAPPEL DONALD R,Chappel Donald R,Donald,R,Chappel,,Donald R Chappel ,WMB UN Equity,WILLIAMS COS INC,Williams Cos Inc,11/6/13,384058,0.056,#N/A N/A,39.02
DONOHUE CRAIG STEVEN,Donohue Craig Steven,Craig,Steven,Donohue,,Craig Steven Donohue ,CME UW Equity,CME GROUP INC,Cme Group Inc,4/30/12,382910,0.114,35420,77.17
COLEMAN GARY L,Coleman Gary L,Gary,L,Coleman,,Gary L Coleman ,TMK UN Equity,TORCHMARK CORP,Torchmark Corp,12/18/13,381779,0.422,#N/A N/A,78.22
CURCIO MICHAEL J,Curcio Michael J,Michael,J,Curcio,,Michael J Curcio ,ETFC UW Equity,E*TRADE FINANCIA,E*Trade Financia,2/11/13,379927,0.132,-28752,20.69
STEWART JAMES W,Stewart James W,James,W,Stewart,,James W Stewart ,BHI UN Equity,BAKER HUGHES INC,Baker Hughes Inc,12/17/13,379584,0.086,-7719,51.84
SULLIVAN JOSEPH A,Sullivan Joseph A,Joseph,A,Sullivan,,Joseph A Sullivan ,LM UN Equity,LEGG MASON INC,Legg Mason Inc,12/12/13,374570,0.311,#N/A N/A,43.94
AKERSON DANIEL FRANCIS,Akerson Daniel Francis,Daniel,Francis,Akerson,,Daniel Francis Akerson ,GM UN Equity,GENERAL MOTORS C,General Motors C,12/31/13,373653,0.027,23383,40.66
BASS CARL,Bass Carl,Carl,,Bass,,Carl  Bass ,ADSK UW Equity,AUTODESK INC,Autodesk Inc,1/3/14,372808,0.165,#N/A N/A,50.11
SU JINGSHYH S,Su Jingshyh S,Jingshyh,S,Su,,Jingshyh S Su ,YUM UN Equity,YUM! BRANDS INC,Yum! Brands Inc,12/13/13,369229,0.083,#N/A N/A,76.86
DONNELLY SCOTT C,Donnelly Scott C,Scott,C,Donnelly,,Scott C Donnelly ,TXT UN Equity,TEXTRON INC,Textron Inc,8/1/13,363722,0.129,-6048,35.78
MAY THOMAS J,May Thomas J,Thomas,J,May,,Thomas J May ,NU UN Equity,NORTHEAST UTILS,Northeast Utils,3/20/13,356650,0.113,39,41.63
SMITH LONNIE M,Smith Lonnie M,Lonnie,M,Smith,,Lonnie M Smith ,ISRG UW Equity,INTUITIVE SURGIC,Intuitive Surgic,12/9/13,352780,0.927,-1500,375.515
ROGERS JAMES P,Rogers James P,James,P,Rogers,,James P Rogers ,EMN UN Equity,EASTMAN CHEMICAL,Eastman Chemical,2/22/13,352264,0.229,138915,78.86
WILSON II THOMAS J,Wilson Ii Thomas J,Thomas,J,Wilson,,Thomas J Wilson ,ALL UN Equity,ALLSTATE CORP,Allstate Corp,12/4/13,350755,0.077,7349,53.3
HOGAN III RANDALL J,Hogan Iii Randall J,Randall,J,Hogan,,Randall J Hogan ,PNR UN Equity,PENTAIR LTD-REG,Pentair Ltd-Reg,12/20/13,349631,0.175,#N/A N/A,77.29
BUNCH CHARLES E,Bunch Charles E,Charles,E,Bunch,,Charles E Bunch ,PPG UN Equity,PPG INDS INC,Ppg Inds Inc,10/22/13,348653,0.245,22,189.58
SOKOLOV RICHARD S,Sokolov Richard S,Richard,S,Sokolov,,Richard S Sokolov ,SPG UN Equity,SIMON PROPERTY,Simon Property,12/19/13,347946,0.112,-325,154.28
SOLSO THEODORE M,Solso Theodore M,Theodore,M,Solso,,Theodore M Solso ,CMI UN Equity,CUMMINS INC,Cummins Inc,4/29/11,347537,0.185,-134602,139.36
WHITE MICHAEL D,White Michael D,Michael,D,White,,Michael D White ,DTV UW Equity,DIRECTV,Directv,12/31/12,347476,0.066,58179,69.58
OTIS JR CLARENCE,Otis Jr Clarence,Clarence,,Otis,Jr,Clarence  Otis Jr,DRI UN Equity,DARDEN RESTAURAN,Darden Restauran,12/23/13,345552,0.263,27500,51.8
COBB WILLIAM CHARLE,Cobb William Charle,William,Charle,Cobb,,William Charle Cobb ,HRB UN Equity,H&R BLOCK INC,H&R Block Inc,12/24/13,344978,0.126,#N/A N/A,29.12
LYNCH THOMAS J,Lynch Thomas J,Thomas,J,Lynch,,Thomas J Lynch ,TEL UN Equity,TE CONNECTIVITY,Te Connectivity,12/5/13,339311,0.083,#N/A N/A,55.02
WILLIAMS SR JOHN H,Williams Sr John H,John,H,Williams,Sr,John H Williams Sr,WPX UN Equity,WPX ENERGY,Wpx Energy,3/25/13,336317,0.167,#N/A N/A,19.32
HACKETT JAMES T,Hackett James T,James,T,Hackett,,James T Hackett ,APC UN Equity,ANADARKO PETROLE,Anadarko Petrole,11/10/12,335727,0.067,48136,79.19
BARRETT GEORGE S,Barrett George S,George,S,Barrett,,George S Barrett ,CAH UN Equity,CARDINAL HEALTH,Cardinal Health,11/11/13,334102,0.098,#N/A N/A,66.53
KOEHLER MICHAEL F,Koehler Michael F,Michael,F,Koehler,,Michael F Koehler ,TDC UN Equity,TERADATA CORP,Teradata Corp,12/3/13,325854,0.2,#N/A N/A,45.87
SCHMIDT ERIC EMERSON,Schmidt Eric Emerson,Eric,Emerson,Schmidt,,Eric Emerson Schmidt ,GOOG UW Equity,GOOGLE INC-CL A,Google Inc-Cl A,1/2/14,322745,0.117,59,1138.38
SKINNER JAMES A,Skinner James A,James,A,Skinner,,James A Skinner ,MCD UN Equity,MCDONALDS CORP,Mcdonalds Corp,2/11/12,318603,0.032,20392,95.23
BURKE KEVIN,Burke Kevin,Kevin,,Burke,,Kevin  Burke ,ED UN Equity,CONS EDISON INC,Cons Edison Inc,12/26/13,316876,0.108,#N/A N/A,53.47
JEFFRY LOUIS JOHN,Jeffry Louis John,Louis,John,Jeffry,,Louis John Jeffry ,GCI UN Equity,GANNETT CO,Gannett Co,5/20/13,316537,0.139,35305,29.85
BAKER JR DOUGLAS M,Baker Jr Douglas M,Douglas,M,Baker,Jr,Douglas M Baker Jr,ECL UN Equity,ECOLAB INC,Ecolab Inc,12/4/13,316104,0.105,-12088,104.14
STRANGFELD JR JOHN R,Strangfeld Jr John R,John,R,Strangfeld,Jr,John R Strangfeld Jr,PRU UN Equity,PRUDENTL FINL,Prudentl Finl,8/20/13,312862,0.068,-1517,91.27
COPPOLA EDWARD C,Coppola Edward C,Edward,C,Coppola,,Edward C Coppola ,MAC UN Equity,MACERICH CO,Macerich Co,3/28/13,311650,0.222,-77,58.8
BOECKMANN ALAN L,Boeckmann Alan L,Alan,L,Boeckmann,,Alan L Boeckmann ,FLR UN Equity,FLUOR CORP,Fluor Corp,2/2/12,310973,0.19,30,79.25
DELANEY WILLIAM J,Delaney William J,William,J,Delaney,,William J Delaney ,SYY UN Equity,SYSCO CORP,Sysco Corp,11/15/13,310170,0.053,-8209,36.18
MAGOWAN PETER A,Magowan Peter A,Peter,A,Magowan,,Peter A Magowan ,CAT UN Equity,CATERPILLAR INC,Caterpillar Inc,3/4/13,309624,0.049,1135,89.32
NANTERME PIERRE,Nanterme Pierre,Pierre,,Nanterme,,Pierre  Nanterme ,ACN UN Equity,ACCENTURE PLC-A,Accenture Plc-A,1/1/14,309015,0.049,7984,82
HARSHMAN RICHARD J,Harshman Richard J,Richard,J,Harshman,,Richard J Harshman ,ATI UN Equity,ALLEGHENY TECH,Allegheny Tech,2/28/13,306795,0.284,46706,35.15
WHITEHURST JAMES M,Whitehurst James M,James,M,Whitehurst,,James M Whitehurst ,RHT UN Equity,RED HAT INC,Red Hat Inc,12/20/13,303978,0.16,-37500,56.91
PARKE JAMES A,Parke James A,James,A,Parke,,James A Parke ,GNW UN Equity,GENWORTH FINANCI,Genworth Financi,5/18/12,300000,0.061,25000,16.24
FELSINGER DONALD E,Felsinger Donald E,Donald,E,Felsinger,,Donald E Felsinger ,SRE UN Equity,SEMPRA ENERGY,Sempra Energy,11/1/12,288473,0.118,#N/A N/A,89.91
RALLS W MATTHEW,Ralls W Matthew,W,Matthew,Ralls,,W Matthew Ralls ,RDC UN Equity,ROWAN COMPANIE-A,Rowan Companie-A,3/7/13,282589,0.227,-12288,33.85
EBEL GREGORY L,Ebel Gregory L,Gregory,L,Ebel,,Gregory L Ebel ,SE UN Equity,SPECTRA ENERG,Spectra Energ,2/25/13,279650,0.042,38080,34.87
RABUN DANIEL W,Rabun Daniel W,Daniel,W,Rabun,,Daniel W Rabun ,ESV UN Equity,ENSCO PLC-CL A,Ensco Plc-Cl A,11/20/13,279513,0.12,-87666,56.43
MOORMAN IV CHARLES WICK,Moorman Iv Charles Wick,Charles,Wick,Moorman,,Charles Wick Moorman ,NSC UN Equity,NORFOLK SOUTHERN,Norfolk Southern,5/7/13,279342,0.09,#N/A N/A,89.24
FETTIG JEFF MAURICE,Fettig Jeff Maurice,Jeff,Maurice,Fettig,,Jeff Maurice Fettig ,WHR UN Equity,WHIRLPOOL CORP,Whirlpool Corp,10/29/13,277789,0.354,-410,156.48
ETTINGER JEFFREY M,Ettinger Jeffrey M,Jeffrey,M,Ettinger,,Jeffrey M Ettinger ,HRL UN Equity,HORMEL FOODS CRP,Hormel Foods Crp,12/18/12,277457,0.105,34416,44.95
LAPHEN MICHAEL W,Laphen Michael W,Michael,W,Laphen,,Michael W Laphen ,CSC UN Equity,COMPUTER SCIENCE,Computer Science,3/19/12,273130,0.186,120915,56.37
RIGBY JOSEPH M,Rigby Joseph M,Joseph,M,Rigby,,Joseph M Rigby ,POM UN Equity,PEPCO HOLDINGS,Pepco Holdings,6/27/13,270961,0.108,#N/A N/A,18.72
KAUFER STEPHEN,Kaufer Stephen,Stephen,,Kaufer,,Stephen  Kaufer ,TRIP UW Equity,TRIPADVISOR INC,Tripadvisor Inc,2/28/13,269884,0.209,2597,84.92
BOYCE GREGORY H,Boyce Gregory H,Gregory,H,Boyce,,Gregory H Boyce ,BTU UN Equity,PEABODY ENERGY,Peabody Energy,2/8/13,269196,0.1,#N/A N/A,18.17
MORRIS MICHAEL G,Morris Michael G,Michael,G,Morris,,Michael G Morris ,AEP UN Equity,AMERICAN ELECTRI,American Electri,12/9/13,268285,0.055,#N/A N/A,46.11
ELLS STEVE,Ells Steve,Steve,,Ells,,Steve  Ells ,CMG UN Equity,CHIPOTLE MEXICAN,Chipotle Mexican,10/21/13,264474,0.855,#N/A N/A,532.8
ANDERSON GERARD M,Anderson Gerard M,Gerard,M,Anderson,,Gerard M Anderson ,DTE UN Equity,DTE ENERGY CO,Dte Energy Co,8/22/13,264194,0.149,#N/A N/A,65.23
FRITCH HERBERT A,Fritch Herbert A,Herbert,A,Fritch,,Herbert A Fritch ,CI UN Equity,CIGNA CORP,Cigna Corp,2/28/13,263040,0.095,20907,87.88
FRAZIER KENNETH C,Frazier Kenneth C,Kenneth,C,Frazier,,Kenneth C Frazier ,MRK UN Equity,MERCK & CO,Merck & Co,5/7/13,262532,0.009,19970,49.87
MARTIN MURRAY D,Martin Murray D,Murray,D,Martin,,Murray D Martin ,PBI UN Equity,PITNEY BOWES INC,Pitney Bowes Inc,2/6/13,261399,0.129,48886,23.6
CHAPMAN GEORGE L,Chapman George L,George,L,Chapman,,George L Chapman ,HCN UN Equity,HEALTH CARE REIT,Health Care Reit,8/5/13,261281,0.091,1959,53.89
SCHUMANN III WILLIAM H,Schumann Iii William H,William,H,Schumann,,William H Schumann ,FTI UN Equity,FMC TECHNOLOGIES,Fmc Technologies,3/13/12,259175,0.11,-49676,51.56
PACKER GARY D,Packer Gary D,Gary,D,Packer,,Gary D Packer ,NFX UN Equity,NEWFIELD EXPLORA,Newfield Explora,8/15/13,258371,0.19,3112,24.86
THEISEN HENRY J,Theisen Henry J,Henry,J,Theisen,,Henry J Theisen ,BMS UN Equity,BEMIS CO,Bemis Co,3/15/13,255499,0.248,-720,40.5
GURSAHANEY NAREN K,Gursahaney Naren K,Naren,K,Gursahaney,,Naren K Gursahaney ,ADT UN Equity,ADT CORP/THE,Adt Corp/The,12/8/13,252589,0.125,-892,39.91
SHAWLEY STEVEN R,Shawley Steven R,Steven,R,Shawley,,Steven R Shawley ,IR UN Equity,INGERSOLL-RAND,Ingersoll-Rand,9/30/13,251595,0.087,#N/A N/A,61.68
YOUNG LARRY D,Young Larry D,Larry,D,Young,,Larry D Young ,DPS UN Equity,DR PEPPER SNAPPL,Dr Pepper Snappl,8/1/13,250000,0.125,-74103,47.88
HOLLEY RICK R,Holley Rick R,Rick,R,Holley,,Rick R Holley ,PCL UN Equity,PLUM CREEK TIMBR,Plum Creek Timbr,4/23/13,249671,0.141,#N/A N/A,43.78
LANE RAYMOND J,Lane Raymond J,Raymond,J,Lane,,Raymond J Lane ,HPQ UN Equity,HEWLETT-PACKARD,Hewlett-Packard,4/22/13,248392,0.013,#N/A N/A,27.72
SCHUMACHER LAURA J,Schumacher Laura J,Laura,J,Schumacher,,Laura J Schumacher ,ABBV UN Equity,ABBVIE INC,Abbvie Inc,8/16/13,247296,0.016,1547,50.4
VAN PAASSCHEN FRITS D,Van Paasschen Frits D,Paasschen,Frits D,Van,,Paasschen Frits D Van ,HOT UN Equity,STARWOOD HOTELS,Starwood Hotels,12/31/13,246994,0.129,8458,77.76
KRAMER RICHARD J,Kramer Richard J,Richard,J,Kramer,,Richard J Kramer ,GT UW Equity,GOODYEAR TIRE,Goodyear Tire,11/1/13,246868,0.1,3203,24.34
MCCALLISTER MICHAEL B,Mccallister Michael B,Michael,B,Mccallister,,Michael B Mccallister ,HUM UN Equity,HUMANA INC,Humana Inc,12/31/13,245023,0.157,2026,99.24
SLAGER DONALD W,Slager Donald W,Donald,W,Slager,,Donald W Slager ,RSG UN Equity,REPUBLIC SVCS,Republic Svcs,12/18/13,244061,0.068,-30031,32.56
WHEELER WILLIAM J,Wheeler William J,William,J,Wheeler,,William J Wheeler ,MET UN Equity,METLIFE INC,Metlife Inc,12/13/13,241837,0.022,1129,54.04
MCGLADE JOHN E,Mcglade John E,John,E,Mcglade,,John E Mcglade ,APD UN Equity,AIR PRODS & CHEM,Air Prods & Chem,12/6/13,239853,0.114,-8896,109.88
KOWALSKI MICHAEL J,Kowalski Michael J,Michael,J,Kowalski,,Michael J Kowalski ,TIF UN Equity,TIFFANY & CO,Tiffany & Co,6/19/13,234409,0.183,#N/A N/A,91.71
EARLEY JR ANTHONY F,Earley Jr Anthony F,Anthony,F,Earley,Jr,Anthony F Earley Jr,PCG UN Equity,PG&E CORP,Pg&E Corp,9/13/13,229556,0.051,-12627,39.84
DONEGAN MARK,Donegan Mark,Mark,,Donegan,,Mark  Donegan ,PCP UN Equity,PRECISION CASTPT,Precision Castpt,2/13/13,226258,0.156,#N/A N/A,268.15
GOFF GREGORY J,Goff Gregory J,Gregory,J,Goff,,Gregory J Goff ,TSO UN Equity,TESORO CORP,Tesoro Corp,5/6/13,224314,0.169,-9513,56.72
MORAN ROBERT F,Moran Robert F,Robert,F,Moran,,Robert F Moran ,PETM UW Equity,PETSMART INC,Petsmart Inc,3/23/13,221232,0.213,#N/A N/A,69.11
HEMINGER GARY R,Heminger Gary R,Gary,R,Heminger,,Gary R Heminger ,MPC UN Equity,MARATHON PETROLE,Marathon Petrole,12/5/13,220863,0.073,-473,87.61
CABIALLAVETTA MATHIS,Cabiallavetta Mathis,Mathis,,Cabiallavetta,,Mathis  Cabiallavetta ,MMC UN Equity,MARSH & MCLENNAN,Marsh & Mclennan,2/12/08,219101,0.04,#N/A N/A,47.82
BRONDEAU PIERRE R,Brondeau Pierre R,Pierre,R,Brondeau,,Pierre R Brondeau ,FMC UN Equity,FMC CORP,Fmc Corp,2/18/13,217897,0.163,7858,74.53
ALMEIDA JOSE E,Almeida Jose E,Jose,E,Almeida,,Jose E Almeida ,COV UN Equity,COVIDIEN PLC,Covidien Plc,12/3/13,213154,0.047,#N/A N/A,68.23
MCADAM LOWELL C,Mcadam Lowell C,Lowell,C,Mcadam,,Lowell C Mcadam ,VZ UN Equity,VERIZON COMMUNIC,Verizon Communic,12/20/13,212641,0.007,76,48.8
ERSEK HIKMET T,Ersek Hikmet T,Hikmet,T,Ersek,,Hikmet T Ersek ,WU UN Equity,WESTERN UNION,Western Union,10/28/13,208394,0.038,983,17.62
STEVENS ROBERT J,Stevens Robert J,Robert,J,Stevens,,Robert J Stevens ,LMT UN Equity,LOCKHEED MARTIN,Lockheed Martin,9/8/13,208337,0.065,6481,148.34
ZIMPLEMAN LARRY DONALD,Zimpleman Larry Donald,Larry,Donald,Zimpleman,,Larry Donald Zimpleman ,PFG UN Equity,PRINCIPAL FINL,Principal Finl,12/27/13,208314,0.071,#N/A N/A,49.1
JONES CLAYTON M,Jones Clayton M,Clayton,M,Jones,,Clayton M Jones ,COL UN Equity,ROCKWELL COLLINS,Rockwell Collins,12/13/13,206904,0.153,-4028,75.66
CARRABBA JOSEPH A,Carrabba Joseph A,Joseph,A,Carrabba,,Joseph A Carrabba ,CLF UN Equity,CLIFFS NATURAL R,Cliffs Natural R,11/1/13,206724,0.135,-49950,24.81
COLLIS STEVEN H,Collis Steven H,Steven,H,Collis,,Steven H Collis ,ABC UN Equity,AMERISOURCEBERGE,Amerisourceberge,11/13/13,205148,0.089,19565,71.19
FOWKE III BENJAMIN G S,Fowke Iii Benjamin G S,Benjamin,G S,Fowke,,Benjamin G S Fowke ,XEL UN Equity,XCEL ENERGY INC,Xcel Energy Inc,3/1/13,200941,0.04,-6709,27.73
BOYD JEFFERY H,Boyd Jeffery H,Jeffery,H,Boyd,,Jeffery H Boyd ,PCLN UW Equity,PRICELINE.COM,Priceline.Com,11/19/13,199554,0.388,-1800,1160.5
JENNESS JAMES M,Jenness James M,James,M,Jenness,,James M Jenness ,K UN Equity,KELLOGG CO,Kellogg Co,5/6/13,196662,0.054,#N/A N/A,60.25
RING TIMOTHY M,Ring Timothy M,Timothy,M,Ring,,Timothy M Ring ,BCR UN Equity,CR BARD INC,Cr Bard Inc,12/23/13,196242,0.252,#N/A N/A,132.58
MCGAVICK MICHAEL S,Mcgavick Michael S,Michael,S,Mcgavick,,Michael S Mcgavick ,XL UN Equity,XL GROUP PLC,Xl Group Plc,2/28/13,192090,0.068,24975,30.27
MCDANIEL JR RAYMOND W,Mcdaniel Jr Raymond W,Raymond,W,Mcdaniel,Jr,Raymond W Mcdaniel Jr,MCO UN Equity,MOODY'S CORP,Moody'S Corp,9/3/13,189006,0.088,2,77.09
BENMOSCHE ROBERT H,Benmosche Robert H,Robert,H,Benmosche,,Robert H Benmosche ,AIG UN Equity,AMERICAN INTERNA,American Interna,12/21/12,186486,0.013,4429,51.46
SOMERHALDER II JOHN W,Somerhalder Ii John W,John,W,Somerhalder,,John W Somerhalder ,GAS UN Equity,AGL RESOURCES,Agl Resources,12/16/13,185987,0.157,-3499,46.23
CRAVER JR THEODORE F,Craver Jr Theodore F,Theodore,F,Craver,Jr,Theodore F Craver Jr,EIX UN Equity,EDISON INTL,Edison Intl,11/1/13,185814,0.057,#N/A N/A,45.01
