Insider Holder Name,name,first,middle,last,extra,full name,company,company_name,lower_case,Filing Date,Amount Held,% Outstanding,Lastest Change,share_price
KARTSOTIS KOSTA N,Kartsotis Kosta N,Kosta,N,Kartsotis,,Kosta N Kartsotis ,FOSL UW Equity,FOSSIL GROUP INC,Fossil Group Inc,7/26/13,6319076,11.447,#N/A N/A,118.25
STARKS DANIEL J,Starks Daniel J,Daniel,J,Starks,,Daniel J Starks ,STJ UN Equity,ST JUDE MEDICAL,St Jude Medical,12/17/13,6191625,2.122,5509,65
MULALLY ALAN R,Mulally Alan R,Alan,R,Mulally,,Alan R Mulally ,F UN Equity,FORD MOTOR CO,Ford Motor Co,4/25/13,5970377,0.154,1826,15.608
DIMON JAMES,Dimon James,James,,Dimon,,James  Dimon ,JPM UN Equity,JPMORGAN CHASE,Jpmorgan Chase,1/13/13,5781424,0.154,101982,58.76
FARMER RICHARD T,Farmer Richard T,Richard,T,Farmer,,Richard T Farmer ,CTAS UW Equity,CINTAS CORP,Cintas Corp,8/1/13,5399002,4.506,5000000,59.2
SCHIFF JR JOHN J,Schiff Jr John J,John,J,Schiff,Jr,John J Schiff Jr,CINF UW Equity,CINCINNATI FIN,Cincinnati Fin,12/3/13,5325412,3.251,-20001,50.8
SANGHI STEVE,Sanghi Steve,Steve,,Sanghi,,Steve  Sanghi ,MCHP UW Equity,MICROCHIP TECH,Microchip Tech,1/2/14,5029672,2.536,#N/A N/A,45.2
MURPHY ROBERT MADISON,Murphy Robert Madison,Robert,Madison,Murphy,,Robert Madison Murphy ,MUR UN Equity,MURPHY OIL CORP,Murphy Oil Corp,2/1/13,4876260,2.608,4797,62.69
MCGRAW III HAROLD W,Mcgraw Iii Harold W,Harold,W,Mcgraw,,Harold W Mcgraw ,MHFI UN Equity,MCGRAW HILL FINA,Mcgraw Hill Fina,10/28/13,4506714,1.664,-1596,77.9
KORS MICHAEL DAVID,Kors Michael David,Michael,David,Kors,,Michael David Kors ,KORS UN Equity,MICHAEL KORS HOL,Michael Kors Hol,8/30/13,4435020,2.176,-42000,76.7
DILLER BARRY,Diller Barry,Barry,,Diller,,Barry  Diller ,EXPE UW Equity,EXPEDIA INC,Expedia Inc,2/28/13,4408396,3.75,6069,71.39
NICHOLAS PETER M,Nicholas Peter M,Peter,M,Nicholas,,Peter M Nicholas ,BSX UN Equity,BOSTON SCIENTIFC,Boston Scientifc,5/7/13,4271856,0.32,22756,12.73
ZELL SAMUEL,Zell Samuel,Samuel,,Zell,,Samuel  Zell ,EQR UN Equity,EQUITY RESIDENTI,Equity Residenti,3/18/13,4180224,1.16,#N/A N/A,53.13
MORGAN JAMES C,Morgan James C,James,C,Morgan,,James C Morgan ,AMAT UW Equity,APPLIED MATERIAL,Applied Material,2/25/09,4063191,0.337,#N/A N/A,17.4
MARTIN JOHN C,Martin John C,John,C,Martin,,John C Martin ,GILD UW Equity,GILEAD SCIENCES,Gilead Sciences,1/2/14,4057121,0.265,#N/A N/A,74.04
GRAINGER DAVID W,Grainger David W,David,W,Grainger,,David W Grainger ,GWW UN Equity,WW GRAINGER INC,Ww Grainger Inc,8/9/13,3994362,5.755,-408187,251.84
EDELMAN THOMAS J,Edelman Thomas J,Thomas,J,Edelman,,Thomas J Edelman ,NBL UN Equity,NOBLE ENERGY INC,Noble Energy Inc,12/20/13,3938244,1.096,-14000,65.98
AMOS DANIEL P,Amos Daniel P,Daniel,P,Amos,,Daniel P Amos ,AFL UN Equity,AFLAC INC,Aflac Inc,12/31/13,3927681,0.843,-118490,64.95
LEIGHTON F THOMSON,Leighton F Thomson,F,Thomson,Leighton,,F Thomson Leighton ,AKAM UW Equity,AKAMAI TECHNOLOG,Akamai Technolog,12/5/13,3828876,2.139,25000,46.95
DILLON DONALD F,Dillon Donald F,Donald,F,Dillon,,Donald F Dillon ,FISV UW Equity,FISERV INC,Fiserv Inc,5/24/13,3774218,1.463,-10658,58.21
